ḥuṭrā   m   masc-sing, masc-pl, fem-pl
ḥewyā   m   irr(sing: [ḥewē: ḥewē: ḥewyā]), irr(pl: [ḥwawwān: ḥwawwāṯ: ḥwawwāṯā])
ḥezwā   m   masc-sing, masc-pl, insert(pl: ān: masc-pl)
ḥaḥḥā   m   masc-sing, masc-pl, insert(pl: w: fem-pl)
ḥeṭṯā   f   fem-sing, masc-pl
ḥaylā   m   masc-sing, masc-pl, insert(pl: āyaw: fem-pl), insert(pl: aw: fem-pl)
ḥekkā   m   irr(sing: [ḥneḵ: ḥneḵ: hekkā]), irr(sing: [ḥeḵ: ḥeḵ: ḥekkā]), irr(pl: [ḥenḵin: ḥenḵay: ḥenḵē])
ḥellṯā    f   fem-sing, masc-pl
ḥmā   m   irr(sing: [ḥam: ḥam: hmā]), insert(pl: ah: masc-pl)
ḥmurtā    f   irr(sing: [ḥumrā: ḥumraṯ: ḥmurtā]), swap(pl: m: u: masc-pl), swap(pl: m: u: fem-pl), irr(pl: [ḥumryān: ḥumryāṯ: ḥumryāṯā])
ḥmātā   f   fem-sing, insert(pl: ah: fem-pl)
ḥesdā   m   masc-sing, insert(pl: ān: masc-pl)
ḥesnā   m   masc-sing, masc-pl, insert(pl: aw: fem-pl)
ḥassṯā    f   fem-sing, masc-pl
ḥaqlā   f   masc-sing, masc-pl, fem-pl
ḥeryā   m   irr(sing: [hrē: hrē: ḥeryā]), irr(pl: [ḥrin: ḥray: ḥrayyā])
ḥarpuštā    f   fem-sing, insert(pl: y: fem-pl)
ḥāṯā    f   fem-sing, irr(pl: [’aḥawwān: ’aḥawwāṯ: ’aḥawwāṯā])
ḥettā   f/m   masc-sing, masc-pl
ṭavyā   m   irr(sing: [ṭvē: ṭvē: ṭavyā]), irr(pl: [ṭvin: ṭvay: ṭvayyā])
ṭviṯā   f   irr(sing: [ṭavyā: ṭavyaṯ: ṭviṯā]), irr(pl: [ṭavyān: ṭavyāṯ: ṭavyāṯā])
ṭahrā   m   masc-sing, masc-pl, insert(pl: aw: fem-pl)
ṭopa’zyon   m   replace(emph-pl: on: ’)
ṭupṯā   f   fem-sing, masc-pl
ṭeṭrarkā    m   masc-sing, add(emph-pl: ’s), add(emph-pl: o)
ṭigris    f/m   all-forms
ṭizā    m   masc-sing, masc-pl, fem-pl, insert(pl: y: fem-pl)
ṭimā    f   masc-pl
ṭalyā   m   irr(sing: [ṭlē: ṭlē: ṭalyā]), irr(pl: [ṭlin: ṭlay: ṭlayyā]), irr(pl: [ṭlayin: ṭlayay: ṭlayyē])
ṭefrā   f   masc-sing, masc-pl, fem-pl
ṭarpā   m   masc-sing, masc-pl, insert(pl: ān: masc-pl)
yozā    m   masc-sing, insert(pl: aw: fem-pl)
yawzā   m   masc-sing, insert(pl: aw: fem-pl)
yawmā   m   masc-sing, masc-pl, fem-pl
yarliḵ    m   irr(emph-pl: yarliqē)
yarqā   m   masc-sing, insert(pl: on: masc-pl)
yārtā   m   masc-sing, masc-pl
kātā    f   masc-sing, masc-pl
kavdā   f   masc-sing, fem-pl
koḏanyā   f/m   masc-sing, masc-pl, shift(pl: y: w: fem-pl)
koḏantā   f   irr(sing: [koḏnā: koḏnaṯ: koḏantā]), irr(pl: [koḏnān: koḏnay: koḏnāṯā])
kawkvā    m   masc-sing, masc-pl
kawkvay   m/f   all-forms
korā    f   add(emph-pl: as), add(emph-pl: os)
kurkyā    f/m   masc-sing, irr(emph-pl: kurkyṯā), irr(emph-pl: kurkuṯā)
kursyā    m   masc-sing, masc-pl, shift(pl: y: aw: fem-pl)
kawṯā   f   fem-sing, masc-pl
kuttinā   m/f   masc-sing, masc-pl, insert(pl: y: fem-pl), irr(pl: [kutnayān: kutnayāṯ: kutnayāṯā])
kutmṯā    f   fem-sing, irr(cons-sing: ktum), fem-pl, masc-pl
kāḵuštā   f   fem-sing, insert(pl: y: fem-pl), irr(pl: [kāḵšān: kāḵšāṯ: kāḵšāṯā])
kalliftā    m   fem-sing, masc-pl
kallṯā    f   fem-sing, masc-pl, fem-pl
kellṯā    f   fem-sing, masc-pl, fem-pl
knuntā    f   fem-sing, insert(pl: y: fem-pl)
knuštā    f   fem-sing, masc-pl, fem-pl, insert(pl: y: fem-pl), insert(pl: w: fem-pl)
kenfā   f   masc-sing, masc-pl, fem-pl
kenšā   m   masc-sing, masc-pl, insert(pl: aw: fem-pl)
ksāstā    f   fem-sing, masc-pl, fem-pl
kesṯā   f   fem-sing, masc-pl, fem-pl
kappṯā    f   fem-sing, masc-pl, insert(pl: ān: masc-pl)
keppṯā    f   fem-sing, masc-pl
kaftā   m   masc-sing, masc-pl
karsā   f   masc-sing, fem-pl
kartā   f   fem-sing, insert(pl: aw: fem-pl)
karrāṯā   f   masc-sing, fem-sing, masc-pl(fem-stem), fem-pl(masc-stem), fem-pl(fem-stem)
kārtā   f   fem-sing, fem-pl
kaṯpā   f   masc-sing, fem-pl, masc-pl
lāḡos   m   delete(pl: s)
lebbā   m   masc-sing, masc-pl(emph-pl), insert(emph-pl: aw: fem-pl)
lvettā    f   irr(sing: [levnā: levnaṯ: lvettā]), irr(pl: [levnin: levnay: levnē])
leḡyonā   f   masc-sing, masc-pl, add(emph-pl: as), add(emph-pl: ’s)
laggṯā    f   fem-sing, masc-pl
